city,country,iso2,lat,lng,country_code,aqi_level,co,no,no2,o3,so2,pm2_5,pm10,nh3,current_temp,feels_like,min_temp,max_temp,pressure,humidity,visibility,wind_speed,wind_angle,wind_direction
Tokyo,Japan,JP,35.6897,139.6922,"Tokyo,JP",Fair,453.95,65.27,28.45,8.4,35.29,11.28,22.16,4.88,71.618,71.95999999999998,67.83799999999994,75.72199999999994,1017,74,10000,0.45,111,East South East
Jakarta,Indonesia,ID,-6.2146,106.8451,"Jakarta,ID",Very Poor,13671.88,207.42,53.47,0.19,51.02,559.17,718.13,32.93,78.368,80.09599999999995,76.87399999999991,83.49799999999993,1009,89,4000,0,0,North North East
Delhi,India,IN,28.66,77.23,"Delhi,IN",Poor,754.36,0.03,20.56,19.85,22.17,47.38,61,4.5,80.67199999999994,88.358,80.67199999999994,80.67199999999994,1009,94,3200,2.57,90,East South East
Mumbai,India,IN,18.9667,72.8333,"Mumbai,IN",Good,287.06,0.01,6.17,31.83,8.23,6.01,9.04,1.2,80.56399999999994,87.06199999999995,80.56399999999994,80.56399999999994,1002,89,2100,3.6,190,South South West
Manila,Philippines,PH,14.6,120.9833,"Manila,PH",Very Poor,1735.69,1.62,37.01,34.33,15.5,144.41,168.08,18.75,83.04799999999992,91.77799999999996,82.38199999999992,84.092,1007,81,8000,2.24,230,West South West
Shanghai,China,CN,31.1667,121.4667,"Shanghai,CN",Very Poor,6408.69,368.36,101.45,1.43,976.56,202.11,259.81,0,77.80999999999997,79.28599999999997,76.85599999999994,78.63799999999995,1008,85,10000,2,170,South South East
São Paulo,Brazil,BR,-23.5504,-46.6339,"São Paulo,BR",Very Poor,1588.82,0.31,137.09,10.46,52.45,91.4,144.73,16.47,74.20999999999998,73.48999999999992,65.13799999999995,77.43199999999992,1017,46,10000,2.57,100,East South East
Seoul,"Korea, South",KR,37.56,126.99,"Seoul,KR",Fair,473.98,1.75,58.95,13.05,17.64,17.46,20.63,1.66,69.27799999999996,70.32199999999995,68.39599999999996,69.35,1007,94,3500,3.6,170,South South East
Mexico City,Mexico,MX,19.4333,-99.1333,"Mexico City,MX",Very Poor,1682.28,0.14,47.3,185.97,61.04,76.99,82.76,1.84,65.92999999999995,65.19200000000001,65.92999999999995,69.09799999999993,1022,63,10000,0.89,40,North North East
Guangzhou,China,CN,23.1288,113.259,"Guangzhou,CN",Very Poor,754.36,9.95,73.34,12.7,81.06,129.3,152.79,0.42,82.32799999999997,85.72999999999993,82.32799999999997,82.92199999999994,1009,64,10000,2.07,205,South South West
Moscow,Russia,RU,55.7558,37.6178,"Moscow,RU",Good,380.52,3.33,26.05,3.71,7.99,5.43,8.49,0.69,35.34799999999992,32.73799999999994,32.21599999999991,37.81399999999993,1035,75,10000,1.47,24,North North East
Bangkok,Thailand,TH,13.75,100.5167,"Bangkok,TH",Very Poor,1869.2,19.67,27.76,0.09,17.64,114.89,149.82,11.27,79.60999999999999,79.60999999999999,77.16199999999995,81.91399999999993,1007,91,10000,1.76,342,North North West
Buenos Aires,Argentina,AR,-34.5997,-58.3819,"Buenos Aires,AR",Good,280.38,0.04,17.65,35.41,9.3,3.12,8.6,0.85,58.94599999999995,58.49599999999995,56.76799999999999,59.97199999999994,1021,84,10000,6.17,130,East South East
Shenzhen,China,CN,22.535,114.054,"Shenzhen,CN",Very Poor,1655.58,34.42,82.94,3.09,179.29,220.24,249.93,0,82.93999999999991,95.25199999999998,80.90599999999992,85.118,1009,92,10000,0.73,202,South South West
Dhaka,Bangladesh,BD,23.7289,90.3944,"Dhaka,BD",Fair,547.41,2.32,15.42,0.53,8.23,14.29,17.15,3.61,82.36399999999993,88.12399999999991,82.36399999999993,82.36399999999993,1009,74,4000,3.09,80,East North East
Lagos,Nigeria,NG,6.45,3.4,"Lagos,NG",Very Poor,3177.64,9.72,22.62,0.11,6.26,185.05,239.22,16.97,79.10599999999994,79.10599999999994,79.10599999999994,79.10599999999994,1011,91,10000,1.75,220,South South West
Istanbul,Turkey,TR,41.01,28.9603,"Istanbul,TR",Good,297.07,0,1.86,64.37,2.74,4.58,5.79,0.15,63.193999999999974,62.6,60.943999999999974,65.04799999999992,1019,72,10000,6.69,30,North North East
Ōsaka,Japan,JP,34.75,135.4601,"Ōsaka,JP",Good,310.42,6.76,27.42,55.08,21.22,6.47,13.65,0.98,76.42399999999992,77.01799999999999,75.03799999999995,77.52199999999993,1013,69,10000,5.66,80,East North East
Karachi,Pakistan,PK,24.86,67.01,"Karachi,PK",Poor,801.09,0,8.91,77.25,5.07,33.03,39.32,6.4,84.00199999999998,87.81799999999998,84.00199999999998,84.00199999999998,1004,61,6000,2.06,360,North North West
Bangalore,India,IN,12.9699,77.598,"Bangalore,IN",Good,273.71,0.21,7.28,10.64,3.87,2.61,3.46,1.74,67.80199999999998,68.64799999999993,67.80199999999998,67.80199999999998,1010,93,10000,4.06,255,West South West
Tehran,Iran,IR,35.7,51.4167,"Tehran,IR",Very Poor,1041.41,103.71,157.65,0,114.44,52.42,131.22,21.53,69.18799999999995,67.69399999999997,60.04399999999997,69.76399999999992,1014,40,10000,2.06,280,West North West
Kinshasa,Congo (Kinshasa),CD,-4.3233,15.3081,"Kinshasa,CD",Fair,417.23,0.02,2.61,9.84,0.38,6.39,30.76,0.75,79.15999999999998,79.15999999999998,79.15999999999998,82.70599999999993,1013,69,7000,2.57,250,West South West
Ho Chi Minh City,Vietnam,VN,10.8167,106.6333,"Ho Chi Minh City,VN",Very Poor,1308.44,38.45,34.27,0.69,53.88,66.47,75.99,8.61,78.80000000000001,78.80000000000001,78.80000000000001,78.80000000000001,1008,100,8000,0,0,North North East
Los Angeles,United States,US,34.1139,-118.4068,"Los Angeles,US",Moderate,320.44,0.52,7.8,151.63,4.29,19.52,22.83,0.72,70.66399999999993,70.68199999999992,64.93999999999991,77.576,1012,69,10000,1.54,250,West South West
Rio de Janeiro,Brazil,BR,-22.9083,-43.1964,"Rio de Janeiro,BR",Poor,1054.76,8.27,80.88,0.27,32.9,25.26,65.64,16.21,75.434,76.58599999999997,71.52799999999996,78.78199999999993,1013,83,10000,1.03,0,North North East
Nanyang,China,CN,32.9987,112.5292,"Nanyang,CN",Very Poor,1054.76,59.01,14.4,0.19,25.27,81.69,87.46,6.78,66.68599999999998,67.18999999999991,66.68599999999998,66.68599999999998,1012,88,10000,0.73,289,West North West
Baoding,China,CN,38.8671,115.4845,"Baoding,CN",Very Poor,867.84,6.87,22.96,0.2,12.88,187.76,208.74,7.66,63.64399999999998,63.608000000000004,63.64399999999998,63.64399999999998,1010,83,10000,2.24,27,North North East
Chennai,India,IN,13.0825,80.275,"Chennai,IN",Poor,694.28,0.77,24.33,3,8.58,41.7,55.74,3.17,80.56399999999994,87.06199999999995,80.56399999999994,80.56399999999994,1005,89,4000,2.57,290,West North West
Chengdu,China,CN,30.66,104.0633,"Chengdu,CN",Very Poor,1562.12,84.94,23.99,0.13,24.32,159.69,188.79,7.47,71.4739999999999,72.734,71.4739999999999,71.4739999999999,1013,94,7000,0,0,North North East
Lahore,Pakistan,PK,31.5497,74.3436,"Lahore,PK",Very Poor,2216.34,9.39,34.27,0.04,4.89,146.37,174.56,6.84,80.56399999999994,85.98199999999991,78.88999999999993,80.56399999999994,1008,83,4000,0,0,North North East
Paris,France,FR,48.8566,2.3522,"Paris,FR",Good,320.44,0,7.71,58.65,1.42,2.81,5.35,3.2,57.36199999999995,56.227999999999966,53.50999999999998,59.161999999999956,1017,73,10000,0.45,203,South South West
London,United Kingdom,GB,51.5072,-0.1275,"London,GB",Good,297.07,0,11.31,51.5,5.13,1.96,2.23,0.12,53.45599999999993,52.91599999999991,50.684,55.23799999999994,1012,94,10000,0.89,253,West South West
Linyi,China,CN,35.0606,118.3425,"Linyi,CN",Very Poor,554.09,7.6,16.97,14.13,12.16,73.34,83.04,1.3,67.18999999999991,67.51399999999992,67.18999999999991,67.18999999999991,1011,83,10000,1.85,18,North North East
Tianjin,China,CN,39.1467,117.2056,"Tianjin,CN",Very Poor,821.11,47.83,31.87,1.63,14.07,111.79,134.45,4.37,64.32799999999997,64.59799999999993,62.95999999999998,64.32799999999997,1009,88,4000,1,0,North North East
Shijiazhuang,China,CN,38.0422,114.5086,"Shijiazhuang,CN",Very Poor,1028.06,39.34,26.73,0.18,16.69,205.78,244.93,19.51,58.837999999999944,57.75800000000001,58.837999999999944,58.837999999999944,1009,71,10000,0.3,44,North North East
Zhoukou,China,CN,33.625,114.6418,"Zhoukou,CN",Very Poor,781.06,3.33,20.56,7.24,10.97,95.19,101.44,4.05,65.20999999999998,65.47999999999993,65.20999999999998,65.20999999999998,1012,86,10000,1.87,252,West South West
Lima,Peru,PE,-12.05,-77.0333,"Lima,PE",Fair,363.83,0,15.42,45.42,9.42,9.51,21.59,3.77,59.521999999999935,59.179999999999936,59.377999999999965,61.12399999999991,1006,85,10000,0.45,299,West North West
Hyderābād,India,IN,17.3667,78.4667,"Hyderābād,IN",Good,333.79,0.37,10.37,8.76,6.02,6.48,10.02,2.76,71.81599999999992,73.11199999999997,71.81599999999992,71.81599999999992,1009,94,5000,2.57,220,South South West
Handan,China,CN,36.6116,114.4894,"Handan,CN",Very Poor,540.73,5.2,20.56,11.8,14.07,60.8,84.9,20.77,65.76799999999999,65.56999999999996,65.76799999999999,65.76799999999999,1009,75,10000,2.06,204,South South West
Bogotá,Colombia,CO,4.6126,-74.0705,"Bogotá,CO",Good,440.6,0.02,16.11,25.03,1.8,6.11,9.16,1.88,58.49599999999995,57.2,58.49599999999995,58.49599999999995,1025,67,10000,2.57,300,West North West
Weifang,China,CN,36.7167,119.1,"Weifang,CN",Very Poor,907.9,30.85,37.7,0.15,15.74,154.01,168.39,3.45,66.00199999999998,66.2,66.00199999999998,66.00199999999998,1011,83,10000,1.35,307,West North West
Nagoya,Japan,JP,35.1167,136.9333,"Nagoya,JP",Poor,574.11,107.29,23.31,3.62,29.09,28.61,33.52,6.97,74.5159999999999,75.092,69.458,75.00199999999998,917,73,10000,1.15,58,East North East
Wuhan,China,CN,30.5872,114.2881,"Wuhan,CN",Poor,754.36,15.42,38.73,3.89,34.81,31.11,35.66,1.05,68.07199999999995,68.43199999999992,68.07199999999995,68.07199999999995,1011,82,10000,3.2,4,North North East
Heze,China,CN,35.2333,115.4333,"Heze,CN",Very Poor,787.74,5.76,18.51,10.1,11.09,83.23,94.67,4.75,64.41799999999998,64.65199999999999,64.41799999999998,64.41799999999998,1011,87,10000,2.26,211,South South West
Ganzhou,China,CN,25.8292,114.9336,"Ganzhou,CN",Very Poor,283.72,0.01,0.64,33.98,1.09,116.69,125.14,0.31,77.41399999999993,78.99799999999993,77.41399999999993,77.41399999999993,1009,88,10000,1.67,15,North North East
Tongshan,China,CN,34.261,117.1859,"Tongshan,CN",Very Poor,680.92,24.14,40.1,9.3,60.56,91.26,106.57,0.6,67.36999999999996,67.74799999999993,67.36999999999996,67.36999999999996,1011,84,10000,2.32,0,North North East
Chicago,United States,US,41.8373,-87.6862,"Chicago,US",Fair,487.33,0.36,57.58,30.4,3.79,7.04,9.32,2.38,66.14599999999996,65.37199999999993,61.897999999999925,70.77199999999993,1016,62,10000,2.24,79,East North East
Luanda,Angola,AO,-8.8383,13.2344,"Luanda,AO",Good,413.9,0,2.74,40.05,2.24,5.49,14.45,2.15,73.38199999999992,74.55199999999998,73.38199999999992,73.38199999999992,1012,88,8000,3.09,170,South South East
Changsha,China,CN,28.1987,112.9709,"Changsha,CN",Fair,514.03,0.05,15.42,15.02,7.87,17.34,18.98,1.3,73.54399999999998,74.87599999999999,73.54399999999998,73.54399999999998,1012,91,10000,4.56,323,North North West
Fuyang,China,CN,32.8986,115.8045,"Fuyang,CN",Very Poor,574.11,1.79,28.79,6.97,19.07,76.09,80.51,1.87,65.89399999999998,66.27199999999993,65.89399999999998,65.89399999999998,1012,87,10000,2.42,344,North North West
Kuala Lumpur,Malaysia,MY,3.1478,101.6953,"Kuala Lumpur,MY",Poor,4058.84,130.53,27.76,0.01,50.55,43.23,56.87,8.74,76.63999999999993,78.42199999999994,74.5159999999999,76.92799999999997,1009,94,10000,1.03,0,North North East
Jining,China,CN,35.4,116.5667,"Jining,CN",Very Poor,1134.87,25.71,12.51,2.82,12.64,151.56,179.03,14.82,63.859999999999985,64.076,63.859999999999985,63.859999999999985,1011,88,10000,0.83,160,South South East
Dongguan,China,CN,23.0475,113.7493,"Dongguan,CN",Very Poor,707.63,1.62,52.78,41.49,57.22,224.76,253.89,0,84.092,91.36399999999993,82.38199999999992,84.092,1009,72,10000,1.37,196,South South West
Jinan,China,CN,36.6667,116.9833,"Jinan,CN",Very Poor,847.82,39.34,52.78,7.42,36.24,130.82,151.43,4.43,66.99199999999999,66.82999999999994,66.99199999999999,66.99199999999999,1010,73,10000,1.12,183,South South West
Foshan,China,CN,23.0292,113.1056,"Foshan,CN",Very Poor,527.38,4.53,41.47,16.99,25.51,111.42,126.14,2.63,82.41799999999998,86.32399999999991,82.41799999999998,82.99399999999997,1009,66,10000,1.99,217,South South West
Hanoi,Vietnam,VN,21.0245,105.8412,"Hanoi,VN",Very Poor,2243.04,14.53,43.18,0.63,23.13,209.83,231.92,11.53,78.78199999999993,78.78199999999993,78.78199999999993,78.78199999999993,1010,82,10000,0.25,132,East South East
Pune,India,IN,18.5196,73.8553,"Pune,IN",Good,230.31,0.02,5.57,22.35,5.48,5.39,6.34,1.19,70.42999999999995,71.6,70.42999999999995,70.42999999999995,1005,94,10000,2.68,211,South South West
Chongqing,China,CN,29.5628,106.5528,"Chongqing,CN",Very Poor,4539.49,321.87,48.67,0.03,94.41,448.78,468.81,5.07,72.392,73.70599999999993,71.90599999999992,74.084,982,93,7000,0.89,315,North North West
Changchun,China,CN,43.9,125.2,"Changchun,CN",Poor,447.27,0,13.02,47.92,6.2,37.57,40.26,3.86,61.12399999999991,61.069999999999965,58.94599999999995,61.12399999999991,981,88,10000,2.35,275,West North West
Zhumadian,China,CN,32.9773,114.0253,"Zhumadian,CN",Very Poor,667.57,11.96,39.76,12.34,34.33,103.37,114.09,2.38,66.12799999999996,66.28999999999992,66.12799999999996,66.12799999999996,1012,82,10000,1.56,235,West South West
Ningbo,China,CN,29.875,121.5492,"Ningbo,CN",Fair,390.53,6.09,24.68,40.05,25.75,17.64,27.77,1.88,75.16399999999993,76.27999999999994,75.16399999999993,75.16399999999993,1008,83,8000,3,190,South South West
Cangzhou,China,CN,38.3037,116.8452,"Cangzhou,CN",Very Poor,761.03,31.74,40.78,4.07,30.99,82.5,98.06,8.11,63.805999999999926,63.5,63.805999999999926,63.805999999999926,1010,77,10000,3.27,205,South South West
Nanjing,China,CN,32.05,118.7667,"Nanjing,CN",Very Poor,934.6,16.54,59.63,0.93,45.78,160.85,177.42,0,75.092,76.72999999999993,73.74199999999999,75.092,1009,94,10000,3.98,316,North North West
Hefei,China,CN,31.8639,117.2808,"Hefei,CN",Poor,540.73,1.15,33.93,7.87,17.64,37.31,38.91,0.82,68,68.91799999999998,68,68,1010,94,3200,4,320,North North West
Ahmedabad,India,IN,23.03,72.58,"Ahmedabad,IN",Moderate,654.22,0,6,34.33,3.22,23.62,26.74,2.31,82.41799999999998,92.53399999999999,82.41799999999998,82.41799999999998,999,89,4000,4.12,30,North North East
Hong Kong,Hong Kong,HK,22.305,114.185,"Hong Kong,HK",Very Poor,554.09,1.84,62.38,41.49,77.25,130.22,146.86,0,84.12799999999996,95.558,82.36399999999993,85.226,1009,83,10000,1.34,170,South South East
Zhanjiang,China,CN,21.1967,110.4031,"Zhanjiang,CN",Very Poor,614.17,22.35,14.91,1.34,7.51,95.41,109.47,6.08,80.99599999999995,85.51399999999992,80.99599999999995,80.99599999999995,1010,75,10000,0.79,279,West North West
