city_ascii,country,iso2,lat,lng,population,country_code,aqi_level,co,no,no2,o3,so2,pm2_5,pm10,nh3,current_temp,feels_like,min_temp,max_temp,pressure,humidity,visibility,wind_speed,wind_angle,wind_direction
Tokyo,Japan,JP,35.6897,139.6922,37977000,"Tokyo,JP",Very Poor,660.9,93.88,81.57,0,39.1,55.09,61.99,0.02,70.484,70.808,62.54599999999995,75.52399999999992,1026,76,10000,0.45,120,East South East
Jakarta,Indonesia,ID,-6.2146,106.8451,34540000,"Jakarta,ID",Very Poor,21789.55,300.41,123.38,0,99.18,735.6,944.93,92.21,81.2659999999999,86.86399999999993,77.41399999999993,82.50800000000001,1010,79,5000,0,0,North North East
Delhi,India,IN,28.66,77.23,29617000,"Delhi,IN",Poor,827.79,0,25.71,47.21,14.31,37.47,77.11,18.75,84.27199999999993,96.40399999999995,84.27199999999993,84.27199999999993,1006,84,4000,0,0,North North East
Mumbai,India,IN,18.9667,72.8333,23355000,"Mumbai,IN",Poor,1041.41,4.02,27.76,2.19,22.89,48.07,86.06,13.17,85.96399999999994,98.56399999999994,85.96399999999994,85.96399999999994,1008,84,3000,2.57,360,North North West
Manila,Philippines,PH,14.6,120.9833,23088000,"Manila,PH",Fair,654.22,0.03,15.08,14.66,4.59,15.19,20.39,4.24,80.6,85.226,79.934,82.38199999999992,1008,78,10000,0,0,North North East
Shanghai,China,CN,31.1667,121.4667,22120000,"Shanghai,CN",Very Poor,1295.09,0.14,98.71,24.68,186.92,53.28,80.31,0.86,77.32399999999991,78.56599999999992,75.84799999999993,78.63799999999995,1016,81,10000,8,160,South South East
Sao Paulo,Brazil,BR,-23.5504,-46.6339,22046000,"Sao Paulo,BR",Good,440.6,0.08,6.94,54.36,3.04,3.97,6.64,2.06,80.41999999999996,81.5,80.13199999999992,82.27399999999992,1013,53,10000,2.57,200,South South West
Seoul,"Korea, South",KR,37.56,126.99,21794000,"Seoul,KR",Very Poor,974.66,53.2,93.22,0,15.97,89.64,101.14,3.07,63.805999999999926,64.02199999999993,60.25999999999998,71.02399999999992,1018,88,10000,1.03,190,South South West
Mexico City,Mexico,MX,19.4333,-99.1333,20996000,"Mexico City,MX",Poor,614.17,22.8,19.54,13.77,21.94,26.84,32.81,1.19,60.96199999999996,60.38599999999997,59.935999999999964,63.03199999999991,1021,77,10000,0.45,344,North North West
Guangzhou,China,CN,23.1288,113.259,20902000,"Guangzhou,CN",Very Poor,1241.68,23.25,77.46,0,64.85,97.6,132.82,0.31,82.32799999999997,87.31399999999994,82.32799999999997,82.92199999999994,1013,71,10000,3.07,131,East South East
